,Lot,CD,ZipCode,ZoneDist1,BldgClass,LandUse,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,ProxCode,BsmtCode,YearBuilt,BoroCode,CondoNo,BIN,IsBopa,geox,geoy
4642,36,110,10037.0,70,16,4.0,3125,12622,2000,10622,0,2000,0,0,0,0,1,6.0,16,18,50.0,62.5,50.0,48.0,2.0,2.0,1920,1,0,1053919,0,40.814404628541475,-73.93676052953948
4643,67,110,10037.0,70,13,2.0,2698,10955,0,10955,0,0,0,0,0,0,1,5.0,20,20,27.0,99.92,27.0,87.0,2.0,2.0,1900,1,0,1053926,0,40.815583320051935,-73.93899929367859
4644,7501,110,10037.0,70,131,4.0,29543,170694,50300,120394,0,0,31560,0,0,18740,1,8.0,125,127,295.0,102.58,295.0,72.0,0.0,5.0,2007,1,1602,1087516,0,40.81549433371417,-73.93685342456087
4645,1,110,10037.0,70,22,3.0,80975,185318,0,185318,0,0,0,0,0,0,1,16.0,259,259,89.5,265.0,43.0,235.0,1.0,2.0,1961,1,0,1053936,0,40.81710318529645,-73.93767200333569
4646,15,110,10037.0,70,22,3.0,66825,185318,0,185318,0,0,0,0,0,0,1,16.0,256,256,211.0,322.0,43.0,232.0,1.0,2.0,1959,1,0,1053938,0,40.81658424936842,-73.93733288889787
4647,25,110,10037.0,70,22,3.0,189025,555954,0,555954,0,0,0,0,0,0,4,16.0,771,771,424.67,440.33,238.0,78.0,0.0,0.0,1959,1,0,1083990,0,40.81628718558291,-73.9361770871364
4648,59,110,10037.0,70,22,3.0,64675,185318,0,185318,0,0,0,0,0,0,1,16.0,257,257,184.75,362.17,43.0,234.0,1.0,2.0,1959,1,0,1053939,0,40.8174210451969,-73.93670347089504
4649,69,110,10037.0,70,22,3.0,57225,185318,0,185318,0,0,0,0,0,0,1,16.0,259,259,295.0,240.17,233.0,79.0,1.0,2.0,1959,1,0,1053940,0,40.8179593749772,-73.93737133527708
4650,22,110,10037.0,52,30,6.0,53954,93855,93855,0,0,0,0,93855,0,0,1,3.0,0,5,245.0,199.83,88.0,199.0,0.0,2.0,1923,1,0,1083991,0,40.81721729759447,-73.93555117983355
4651,50,111,10035.0,70,16,4.0,2592,12000,1125,10875,1125,0,0,0,0,0,1,5.0,18,19,25.92,100.0,26.0,94.0,1.0,2.0,1900,1,0,1053959,0,40.80170266679443,-73.94322717482149
4652,71,111,10035.0,70,16,4.0,5555,23310,3885,19425,0,3885,0,0,0,0,1,6.0,23,26,50.5,110.0,50.5,97.0,0.0,2.0,1921,1,0,1053965,0,40.80220576479169,-73.94490270917973
4653,7501,111,10035.0,70,131,4.0,17592,112576,0,0,0,0,0,0,0,0,1,9.0,92,98,175.92,100.0,175.0,100.0,0.0,5.0,2004,1,1382,1086525,0,40.80145024260774,-73.94341159952147
4654,7502,111,10035.0,70,131,4.0,13277,68694,23646,45048,0,17315,0,0,0,6331,2,8.0,54,65,125.92,110.0,126.0,110.0,3.0,2.0,2010,1,2161,1088264,0,40.80203838827835,-73.9450112071542
4655,7503,111,10035.0,70,131,4.0,7909,37166,6299,30867,0,6299,0,0,0,0,1,8.0,27,30,95.4,85.0,95.0,85.0,3.0,2.0,2012,1,2224,1088477,0,40.80164264688007,-73.94397128969993
4656,1,111,10035.0,70,23,3.0,81405,168963,12008,156955,3968,0,0,6340,0,1700,1,6.0,135,136,201.83,405.0,200.0,255.0,1.0,2.0,1994,1,0,1084826,0,40.803804055148184,-73.94109064501359
4657,1,111,10035.0,69,140,4.0,1593,3412,853,2559,0,0,0,0,0,853,2,3.0,5,6,19.92,80.0,20.0,48.0,2.0,5.0,1909,1,0,1076451,0,40.8057150530382,-73.94241462401122
4658,50,111,10035.0,18,101,5.0,7806,22483,22483,0,15983,6500,0,0,0,0,4,4.0,0,10,91.83,85.0,50.0,85.0,2.0,2.0,1926,1,0,1081466,0,40.80540395871593,-73.94056185311658
4659,56,111,10035.0,17,28,3.0,5803,23975,4759,19216,0,4759,0,0,0,0,1,5.0,13,16,57.5,100.92,57.0,92.0,3.0,2.0,1900,1,0,1054010,0,40.80558810006941,-73.94103849562616
4660,59,111,10035.0,17,86,6.0,3784,10038,10038,0,0,3346,0,6692,0,0,1,3.0,0,1,37.5,100.92,38.0,96.0,3.0,2.0,1909,1,0,1054011,0,40.80565405277864,-73.94119376083162
