,Address,corx,cory
110,200 NORTH END AVENUE,40.71597264680204,-74.01475392364158
111,212 WARREN STREET,40.717270775150865,-74.01583281958993
112,CHAMBERS STREET,0,0
113,50 WEST STREET,40.70776028753002,-74.0149937664063
114,90 WASHINGTON STREET,40.70807320926812,-74.01484956123805
115,25 WEST STREET,40.70713444873404,-74.01524249746382
116,45 WEST STREET,0,0
117,33 RECTOR STREET,40.7083065006139,-74.01495421335049
118,56 GREENWICH STREET,40.70642362295363,-74.01471934898835
119,88 GREENWICH STREET,40.70787568196059,-74.01408846594472
120,65 GREENWICH STREET,40.70711542859343,-74.01370598054422
121,67 GREENWICH STREET,40.707167582108276,-74.01368074338858
122,42 TRINITY PLACE,40.707403646721275,-74.01355455199503
123,81 GREENWICH STREET,40.70759579244466,-74.01344999203847
124,46 TRINITY PLACE,40.70766716176699,-74.01340311716942
125,87 GREENWICH STREET,40.70782360359963,-74.01348610675738
126,50 TRINITY PLACE,40.70776324062305,-74.01329853719785
127,29 BROADWAY,40.70614653975551,-74.0135975777975
128,39 BROADWAY,40.70634418266945,-74.01342809873438
129,45 BROADWAY,40.70654182449764,-74.01326583227805
130,47 BROADWAY,40.706668094821325,-74.01316847346061
131,49 BROADWAY,40.706731229745934,-74.01312159732164
132,55 BROADWAY,40.70685475518066,-74.01302423741807
133,61 BROADWAY,40.70710454975663,-74.01283673072939
134,65 BROADWAY,40.70732689479581,-74.01266364482058
135,69 BROADWAY,40.707491597181786,-74.01251218810043
136,26 BROADWAY,40.70542749164906,-74.01290132921106
137,32 BROADWAY,40.70579530734462,-74.01274630947582
138,42 BROADWAY,40.70598745751405,-74.01259486162557
139,50 BROADWAY,40.70623175838712,-74.01243981584786
140,52 BROADWAY,40.706484294489854,-74.01227395004283
141,80 BROADWAY,40.707121126161404,-74.0118304263107
142,2 BROAD STREET,40.7070306127987,-74.01119200091004
143,20 BROAD STREET,40.706613382069136,-74.01146244159717
144,60 BROAD STREET,40.70531230907494,-74.01199962205766
145,44 NEW STREET,40.705853021615965,-74.01205742768913
146,30 BROAD STREET,40.706273012136734,-74.01165354301583
147,50 BROAD STREET,40.7057267826973,-74.01186263971479
148,40 BROAD STREET,40.706020480249606,-74.0117869496462
149,55 BROAD STREET,40.705276722461825,-74.01104743694744
150,43 BROAD STREET,40.70554022708754,-74.01097173882897
151,41 BROAD STREET,40.70575156287983,-74.01108719003484
152,25 BROAD STREET,40.70591902396974,-74.01076621515539
153,40 EXCHANGE PLACE,40.70568576287614,-74.01028647845017
154,15 WILLIAM STREET,40.70536736374277,-74.01035856416716
155,37 WALL STREET,40.7063033399597,-74.01022886505926
156,45 WALL STREET,40.7062073003625,-74.00991866656662
