GI_BA_S_CP,GI_BA_S_STREET,GI_BA_S_ARTERY,GI_BA_S_HOUSE_NO,GI_BA_X_CP,GI_BA_X_STREET,GI_BA_X_ARTERY,GI_BA_S_ZIP_CD1,BIN,Latitude,Longitude
W,95,ST,118,,COLUMBUS,AV,10025,1032564,40.79236394,-73.96902455
W,105,ST,153,,AMSTERDAM,AV,10025,1055930,40.79958698,-73.96519985
W,105,ST,165,,AMSTERDAM,AV,10025,1075311,40.79982044,-73.96575595
W,118,ST,8,,5,AV,10026,1051436,40.80187431,-73.94629359
W,116,ST,222,,7,AV,10026,1085306,40.8034448,-73.95380179
,MANHATTAN,AV,400,W,117,ST,10026,1059061,40.80576491,-73.9558808
W,116,ST,232-234,,7,AV,10026,1055244,40.80361514,-73.95420623
W,116,ST,160,,,,10026,1055056,40.80263157,-73.95187354
W,118,ST,301,,8,AV,10026,1087277,40.8061651,-73.95450067
,8,AV,2153,,,,10026,1059021,40.8047602,-73.95551303
W,35,ST,27,,,,10001,1015892,40.7498841,-73.98534684
W,116,ST,300,,,,10026,1055855,40.80438428,-73.95580225
,MANHATTAN,AV,391,W,116,ST,10026,1059009,40.80539473,-73.95682382
W,28,ST,127,,,,10001,1015107,40.7467914,-73.99172821
W,116,ST,240,,8,AV,10026,1081574,40.80376349,-73.9545565
W,116,ST,252,,8,AV,10026,1055248,40.80394756,-73.95499343
W,116,ST,160-164,,LENOX,AV,10026,1055056,40.80263157,-73.95187354
W,116,ST,236,,8 TH AVE,,10027,1055245,40.80368382,-73.95436511
,8,AV,2165-2169,W,117,ST,10027,1087201,40.80513351,-73.95559225
W,117,ST,41,,5,AV,10027,1051434,40.8026464,-73.94808814
,ST NICHOLAS,AV,240,W,122,ST,10027,1059240,40.80874439,-73.95264216
W,127,ST,104,,LENOX,AV,10027,1081605,40.80916098,-73.94508479
W,129,ST,1,,5,AV,10027,1000000,40.80937021,-73.94080757
E,86,ST,215,,3,AV,10028,1048790,40.77870895,-73.95298488
E,83,ST,535-543,E,END,AV,10028,1051198,40.77334014,-73.94643936
,YORK,AV,1644-1654,E,87,ST,10028,1051311,40.77628252,-73.94648393
,3,AV,1580,E,89,ST,10028,1048090,40.78072909,-73.95300151
W,31,ST,34-38,,BROADWAY,,10001,1078654,40.74716161,-73.98798923
W,35,ST,40,,5,AV,10001,1015881,40.74970853,-73.98609036
W,29,ST,28-30,,BROADWAY,,10001,1015740,40.74592932,-73.98894221
,7,AV,352,W,30,ST,10001,1014291,40.7483505,-73.99299841
,10,AV,246,W,24,ST,10001,1012782,40.74844399,-74.00321569
,ESSEX,ST,137,,RIVINGTON,ST,10002,1005377,40.7203316,-73.98761167
E,BROADWAY,,26,,CATHERINE,ST,10002,1003487,40.7137201,-73.99676435
,RIVINGTON,ST,112,,ESSEX,ST,10002,1005380,40.72006537,-73.98770551
E,79,ST,242,,2,AV,10028,1080461,40.77333587,-73.95579758
,YORK,AV,1584,E,83,ST,10028,1051181,40.77413409,-73.94803094
,YORK,AV,1588,,,,10028,1051209,40.77427131,-73.94798389
E,82,ST,127,,PARK,AV,10028,1047608,40.77723959,-73.9576653
E,86,ST,163,,LEXINGTON,AV,10028,1047959,40.77936282,-73.95452982
E,86,ST,342,,2,AV,10028,1050005,40.776888,-73.950141
E,87,ST,501-03,,YORK,AV,10028,1051312,40.7766968,-73.94612615
E,91,ST,2,,5,AV,10028,1046980,40.78418932,-73.95781977
E,96,ST,7,,5,AV,10028,1051438,40.78784969,-73.9549032
E,96,ST,49,,MADISON,AV,10028,1051443,40.78734693,-73.95371185
E,96,ST,135,,LEXINGTON,AV,10028,1051698,40.78633593,-73.95144837
E,86,ST,226,,3,AV,10028,1048780,40.77793496,-73.95302875
,MADISON,AV,1266,E,91,ST,10028,1046983,40.78373068,-73.95710508
,PARK,AV,1200,E,94,ST,10028,1047404,40.78591435,-73.95413534
,YORK,AV,1668,E,87,ST,10028,1051312,40.7766968,-73.94612615
,3,AV,2018,E,111,ST,10029,1080661,40.79477746,-73.94270218
,ALLEN,ST,9,,CANAL,ST,10002,1003790,40.71487273,-73.99303799
,BOWERY,,131,,GRAND,ST,10002,1005628,40.7185453,-73.99445173
,CANAL,ST,93,,FORSYTH,ST,10002,1081953,40.71559464,-73.99360426
,CLINTON,ST,18-20,E,HOUSTON,ST,10002,1004261,40.72060564,-73.98400766
E,110,ST,153,,LEXINGTON,AV,10029,1052179,40.79478896,-73.9437712
,ELDRIDGE,ST,249,,STANTON,ST,10002,1005620,40.72296129,-73.98969282
,ESSEX,ST,131,,RIVINGTON,ST,10002,1005379,40.72004066,-73.98762615
,ESSEX,ST,133-35,,RIVINGTON,ST,10002,1005378,40.72023829,-73.98765497
,ESSEX,ST,143-45,,RIVINGTON,ST,10002,1077620,40.72055392,-73.98749618
,ESSEX,ST,156,,STANTON,ST,10002,1004310,40.72055385,-73.9868829
E,111,ST,163,,LEXINGTON,AV,10029,1085679,40.7954723,-73.94356837
,GRAND,ST,227,,BOWERY,,10002,1003123,40.71853986,-73.99553397
,GRAND,ST,240,,BOWERY,,10002,1005627,40.71847668,-73.99448421
,HENRY,ST,61,,MARKET,ST,10002,1078947,40.71321225,-73.99480568
,ATTORNEY,ST,162,,RIDGE,ST,10002,1004131,40.72050669,-73.98308414
E,102,ST,304,,2,AV,10029,1079341,40.78737813,-73.94365468
E,115,ST,161,,LEXINGTON,AV,10029,1052242,40.79796077,-73.94155812
,3,AV,2114,E,115,ST,10029,1052279,40.79777087,-73.94055783
E,HOUSTON,ST,250,,NORFOLK,ST,10002,1004960,40.72209342,-73.98491282
,GRAND,ST,274,,FORSYTH,ST,10002,1005582,40.7180484,-73.99274907
,GRAND,ST,248,,CHRYSTIE,ST,10002,1005647,40.71841078,-73.99401885
,3,AV,114,E,13,ST,10003,1009080,40.73307277,-73.9876995
E,14,ST,233,,2,AV,10003,1019509,40.73294902,-73.9856284
E,10,ST,214,,2,AV,10003,1006409,40.72921346,-73.98604052
W,136,ST,221,,7,AV,10030,1058949,40.8166097,-73.94413571
W,137,ST,175,,7,AV,10030,1081808,40.81643837,-73.94178756
,8,AV,2501,W,134,ST,10030,1059446,40.81566987,-73.94754691
,1,AV,83,E,5,ST,10003,1077683,40.72603238,-73.98679162
E,14,ST,235,,,,10003,1019510,40.73289685,-73.98550573
,BROADWAY,,3375,,,,10031,1059964,40.8213874,-73.95469982
E,16,ST,108,,,,10003,1017817,40.73547455,-73.98882126
E,14,ST,201,,,,10003,1019496,40.73337184,-73.986718
,BROADWAY,,3661,W,151,ST,10031,1062456,40.83060408,-73.9480049
W,141,ST,474,,CONVENT,AV,10031,1061213,40.82237875,-73.94930842
E,6,ST,215,,HALL,PL,10003,1006643,40.72812693,-73.98974614
E,16,ST,19,W,UNION,SQ,10003,1078690,40.73680595,-73.99109436
E,16,ST,120,,IRVING,PL,10003,1017814,40.73517257,-73.98824759
E,16,ST,122,,IRVING,PL,10003,1017813,40.73500234,-73.9877208
E,16,ST,130,,IRVING,PL,10003,1017811,40.73486781,-73.98739968
W,170,ST,630,,FORT WASHINGTON,AV,10032,1063392,40.84271566,-73.94059719
E,19,ST,242,,3,AV,10003,1019591,40.73541897,-73.98318861
,1,AV,104,E,6,ST,10003,1005771,40.72650435,-73.98575967
E,20,ST,8,S,PARK,AV,10003,1084662,40.73922952,-73.99044449
E,4,ST,99,,2,AV,10003,1006221,40.72605452,-73.98854865
,2,AV,95,E,6,ST,10003,1006626,40.72725952,-73.98906076
,3,AV,166,E,16,ST,10003,1017822,40.73502963,-73.98632797
W,179,ST,535,,AUDUBON,AV,10033,1063632,40.84789124,-73.93384435
W,179,ST,650,,BROADWAY,,10033,1085811,40.84844455,-73.9367354
,10,AV,4036-50,W,215,ST,10034,1081912,40.86999587,-73.91523418
,GREENWICH,ST,125,,ALBANY,ST,10006,1001034,40.70910275,-74.01276858
,MURRAY,ST,18,,CHURCH,ST,10007,1001406,40.71341242,-74.00846965
