Lat,Lon,GI_BA_S_CP,GI_BA_S_STREET,GI_BA_S_ARTERY,GI_BA_S_HOUSE_NO,Address,Latitude,Longitude
7.41199999936271E-05,0.000184020000006058,,PERRY,ST,101,99 PERRY STREET,40.73533771,-74.00575173
7.41899999994189E-05,0.00017336999999884,W,141,ST,474,468 WEST 141 STREET,40.82237875,-73.94930842
7.66500000040082E-05,0.000393819999999323,W,129,ST,1,2110 5 AVENUE,40.80937021,-73.94080757
8.23399999987373E-05,5.41200000014896E-05,,CANAL,ST,365,363 CANAL STREET,40.72129561,-74.00406938
8.23600000003921E-05,0.000194879999995123,W,34,ST,130,136 WEST 34 STREET,40.75016451,-73.98937461
8.24000000037017E-05,0.000140809999990665,W,127,ST,104,335 LENOX AVENUE,40.80916098,-73.94508479
8.24399999999059E-05,0.000194960000001743,E,115,ST,161,167 EAST 115 STREET,40.79796077,-73.94155812
8.24399999999059E-05,0.000202190000010205,E,115,ST,161,153 EAST 115 STREET,40.79796077,-73.94155812
8.53099999957863E-05,0.000462320000011118,W,127,ST,104,118 WEST 127 STREET,40.80916098,-73.94508479
8.78299999982346E-05,6.85500000088268E-05,,BROADWAY,,446,450 BROADWAY,40.72023346,-74.00073955
0,0,,2,AV,1534,302 EAST 80 STREET,40.77375799,-73.9543459
0,0,,2,AV,95,95 2 AVENUE,40.72725952,-73.98906076
0,0,,7,AV,545,1411 BROADWAY,40.75419361,-73.98756566
0,0,,7,AV,848-852,848 7 AVENUE,40.76407113,-73.98149915
0,0,,ATTORNEY,ST,162,162 ATTORNEY STREET,40.72050669,-73.98308414
0,0,,CANAL,ST,93,93 CANAL STREET,40.71559464,-73.99360426
0,0,,CLINTON,ST,18-20,20 CLINTON STREET,40.72060564,-73.98400766
0,0,,MADISON,AV,1919,1911 MADISON AVENUE,40.80443236,-73.94063135
0,0,,MURRAY,ST,18,18 MURRAY STREET,40.71341242,-74.00846965
0,0,,PERRY,ST,101,552 HUDSON STREET,40.73533771,-74.00575173
0,0,E,38,ST,20,242 MADISON AVENUE,40.75021017,-73.98152105
0,0,E,86,ST,226,228 EAST 86 STREET,40.77793496,-73.95302875
0,0,W,10,ST,228,228 WEST 10 STREET,40.73371833,-74.00513097
0,0,W,179,ST,535,535 WEST 179 STREET,40.84789124,-73.93384435
0,0,W,179,ST,650,4200 BROADWAY,40.84844455,-73.9367354
0,0,W,28,ST,127,127 WEST 28 STREET,40.7467914,-73.99172821
0,0,W,34,ST,130,130 WEST 34 STREET,40.75016451,-73.98937461
0,0,W,35,ST,40,40 WEST 35 STREET,40.74970853,-73.98609036
0,0,W,55,ST,200,856 7 AVENUE,40.76425226,-73.98136915
0,0,W,95,ST,118,118 WEST 95 STREET,40.79236394,-73.96902455
5.5300000028069E-06,0.000479859999998666,,2,AV,95,233 EAST 5 STREET,40.72725952,-73.98906076
1.92100000049322E-05,9.01799999866171E-05,E,BROADWAY,,26,24 EAST BROADWAY,40.7137201,-73.99676435
2.44800000004375E-05,0.000404539999991016,E,117,ST,306,2264 2 AVENUE,40.79710196,-73.9369106
2.47000000044295E-05,8.29699999940203E-05,,BROOME,ST,378,376 BROOME STREET,40.72055179,-73.99630585
2.47000000044295E-05,0.000183959999986882,E,BROADWAY,,26,22 EAST BROADWAY,40.7137201,-73.99676435
